ID,SourceText,TranslatedText
1,reinforceAI,加强AI捆绑包V2
2,,"这是一个中度PVE AI扩展包(必须与 加强AI_V2 一起使用) \n 公共部分：\n 默认以 帝国战争模式 开局 \n 主城镇中心添加了家园卫士效果 \n - 附近单位每秒恢复 1hp 且获得 20% 的伤害加成 \n - 获得 20% 攻速加成 \n - 获得 脱战回血 +6/s \n 注: 仅主城镇中心没被摧毁时!!!) \n\n 资源部分：\n 金矿储存量 x2 \n 大石矿存储量 x2.5 \n\n 防御建筑部分:\n 城墙、石墙门 血量 x 1.5 自回 +25/s 建造时间 -2 s， 石墙门 建造时间 -5 s\n 罗斯木墙 x2 生命值 和 建造时间 -4 秒\n 蒙古可以建造 罗斯木墙(生命值减半 和 建造时间 - 7秒)\n 蒙古 驿站网络 范围+3格 \n 石墙塔、大型箭塔、哨塔 血量 x 1.5 ，各自具有 防御炮台特色\n - 弩箭 全部替换为 投石塔\n - 城堡 建造完成 时 自带 1门火炮\n 蒙古 哨站 血量更厚，允许升级 两个 炮台 \n 城堡特殊改动：\n 可通过 升级 获得 1门投石器炮台 和 1门火炮炮台(弩箭替换投石器) \n 独特：\n 中国，朱熹：城堡 多4门 手枪武器槽(要驻扎) \n 日本 驻扎射击槽 仅有8个 ，但获得额外 2枚火箭弹(共3门) \n 拜占庭 城堡 自带一门 投石器炮台 \n 法兰西，贞德文明 红宫 血量 +1000 \n 英格兰文明 温嘉德宫殿 血量 +1000 \n 奥斯曼 可通过 升级 再增加一门 巨炮 \n 罗斯：\n - 木质要塞 替换 劲弩箭(真伤、45) \n - 克里姆林 替换 劲弩箭x2 (真伤、45) \n 斯巴斯克塔 4门火炮 \n 城堡哨站武器攻击力加成：\n 火炮 +10(80) 、奥斯曼大炮 +12(112) 、沸油 +10(40) 、投石器炮台 +2(9) 、烟花炮台 +8(88)、罗斯弩箭(真伤、45) \n\n 单位部分:\n 农民只占用一半人口(人口 = 0.5) \n 农民提升采集倍率 \n 农民生产时间 -5 秒 \n\n 科技部分:\n城镇中心允许 帝王时代 升级 帝国崛起 科技(产生石料)\n\n AI加强部分：\n 限制农民为60人口\n 资源采集速度： 荒谬 x1.5 令人发指 x2 荒唐 x3\n AI更倾向于战斗到底\n\n此包为长期更新，很多内容还在研究和实验\n意见或反馈：\n1033498641@qq.com\n技术交流qq群:536396000"
3,,石料科技
4,,首都城镇中心获得稳定的 240 每分神的石头收入。\n如果建造了下列地标，变为获得双倍的石头收入。\n-皇宫\n-江南塔\n-公会大厅\n-王官\n-迈因维克官殿\n-智慧官\n-金门\n-守护者大院\n-伊斯坦布尔皇官\n-皇家采矿场\n-大酒庄\n-藏造仓库
5,,王朝崛起
6,,靠近的单位会获得家园卫士效果+%1%%% 攻速.
7,,家园卫士(攻速)
8,,每%2%%%秒治愈 +%1%%%.攻击力+%3%%%
9,,家园卫士(伤害、治疗)
10,,家园卫士(脱战治疗)
11,,为此建筑添加一门轻型投石器炮台
12,,投石机炮台
